year,month,frequency,timing,months
2018,March,57,2018-03-01,3
2018,April,5,2018-04-01,4
2018,May,4,2018-05-01,5
2018,June,7,2018-06-01,6
2018,July,3,2018-07-01,7
2018,August,6,2018-08-01,8
2018,September,2,2018-09-01,9
2018,October,55,2018-10-01,10
2018,November,2,2018-11-01,11
2018,December,9,2018-12-01,12
2019,February,1,2019-02-01,2
2019,March,49,2019-03-01,3
2019,April,5,2019-04-01,4
2019,May,8,2019-05-01,5
2019,June,4,2019-06-01,6
2019,July,6,2019-07-01,7
2019,August,1,2019-08-01,8
2019,September,4,2019-09-01,9
2019,October,59,2019-10-01,10
2019,November,1,2019-11-01,11
2019,December,3,2019-12-01,12
2020,January,2,2020-01-01,1
2020,February,2,2020-02-01,2
2020,March,48,2020-03-01,3
2020,April,9,2020-04-01,4
2020,May,4,2020-05-01,5
2020,June,8,2020-06-01,6
