year,month,frequency,months,timing
2012,October,34,10,2012-10-01
2012,November,23,11,2012-11-01
2012,December,44,12,2012-12-01
2013,January,14,1,2013-01-01
2013,February,70,2,2013-02-01
2013,March,33,3,2013-03-01
2013,April,60,4,2013-04-01
2013,May,16,5,2013-05-01
2013,June,23,6,2013-06-01
2013,July,28,7,2013-07-01
2013,August,26,8,2013-08-01
2013,September,37,9,2013-09-01
2013,October,19,10,2013-10-01
2013,November,5,11,2013-11-01
2013,December,14,12,2013-12-01
2014,January,60,1,2014-01-01
2014,February,22,2,2014-02-01
2014,March,15,3,2014-03-01
2014,April,15,4,2014-04-01
2014,May,34,5,2014-05-01
2014,June,9,6,2014-06-01
2014,July,15,7,2014-07-01
2014,August,53,8,2014-08-01
2014,September,2,9,2014-09-01
2014,October,7,10,2014-10-01
2014,November,12,11,2014-11-01
2014,December,12,12,2014-12-01
2015,January,16,1,2015-01-01
2015,February,17,2,2015-02-01
2015,March,17,3,2015-03-01
2015,April,6,4,2015-04-01
2015,May,36,5,2015-05-01
2015,June,36,6,2015-06-01
2015,July,12,7,2015-07-01
2015,August,21,8,2015-08-01
2015,September,6,9,2015-09-01
2015,October,27,10,2015-10-01
2015,November,7,11,2015-11-01
2015,December,9,12,2015-12-01
2016,January,4,1,2016-01-01
2016,February,10,2,2016-02-01
2016,March,2,3,2016-03-01
2016,April,41,4,2016-04-01
2016,May,13,5,2016-05-01
2016,June,4,6,2016-06-01
2016,July,11,7,2016-07-01
2016,August,33,8,2016-08-01
2016,September,2,9,2016-09-01
2016,October,4,10,2016-10-01
2016,November,43,11,2016-11-01
2016,December,55,12,2016-12-01
2017,January,21,1,2017-01-01
2017,February,51,2,2017-02-01
2017,March,5,3,2017-03-01
2017,April,41,4,2017-04-01
2017,May,15,5,2017-05-01
2017,June,27,6,2017-06-01
2017,July,24,7,2017-07-01
2017,August,4,8,2017-08-01
2017,September,6,9,2017-09-01
2017,October,8,10,2017-10-01
2017,November,6,11,2017-11-01
2017,December,42,12,2017-12-01
2018,January,16,1,2018-01-01
2018,February,20,2,2018-02-01
2018,March,67,3,2018-03-01
2018,April,16,4,2018-04-01
2018,May,32,5,2018-05-01
2018,June,66,6,2018-06-01
2018,July,3,7,2018-07-01
2018,August,67,8,2018-08-01
2018,September,18,9,2018-09-01
2018,October,20,10,2018-10-01
2018,November,60,11,2018-11-01
2018,December,28,12,2018-12-01
2019,January,71,1,2019-01-01
2019,February,12,2,2019-02-01
2019,March,74,3,2019-03-01
2019,April,30,4,2019-04-01
2019,May,16,5,2019-05-01
2019,June,27,6,2019-06-01
2019,July,37,7,2019-07-01
2019,August,13,8,2019-08-01
2019,September,54,9,2019-09-01
2019,October,59,10,2019-10-01
2019,November,14,11,2019-11-01
2019,December,67,12,2019-12-01
2020,January,54,1,2020-01-01
2020,February,59,2,2020-02-01
2020,March,22,3,2020-03-01
2020,April,8,4,2020-04-01
2020,May,26,5,2020-05-01
2020,June,68,6,2020-06-01
2020,July,25,7,2020-07-01
