year,month,frequency,months,timing
2007,July,126,7,2007-07-01
2007,August,103,8,2007-08-01
2007,September,78,9,2007-09-01
2007,October,110,10,2007-10-01
2007,November,110,11,2007-11-01
2007,December,114,12,2007-12-01
2008,January,40,1,2008-01-01
2008,February,83,2,2008-02-01
2008,March,88,3,2008-03-01
2008,April,120,4,2008-04-01
2008,May,112,5,2008-05-01
2008,June,73,6,2008-06-01
2008,July,55,7,2008-07-01
2008,August,80,8,2008-08-01
2008,September,137,9,2008-09-01
2008,October,103,10,2008-10-01
2008,November,48,11,2008-11-01
2008,December,54,12,2008-12-01
2009,January,103,1,2009-01-01
2009,February,111,2,2009-02-01
2009,March,71,3,2009-03-01
2009,April,70,4,2009-04-01
2009,May,55,5,2009-05-01
2009,June,93,6,2009-06-01
2009,July,104,7,2009-07-01
2009,August,63,8,2009-08-01
2009,September,95,9,2009-09-01
2009,October,98,10,2009-10-01
2009,November,104,11,2009-11-01
2009,December,101,12,2009-12-01
2010,January,100,1,2010-01-01
2010,February,112,2,2010-02-01
2010,March,79,3,2010-03-01
2010,April,99,4,2010-04-01
2010,May,108,5,2010-05-01
2010,June,105,6,2010-06-01
2010,July,111,7,2010-07-01
2010,August,105,8,2010-08-01
2010,September,98,9,2010-09-01
2010,October,89,10,2010-10-01
2010,November,96,11,2010-11-01
2010,December,105,12,2010-12-01
2011,January,115,1,2011-01-01
2011,February,109,2,2011-02-01
2011,March,100,3,2011-03-01
2011,April,103,4,2011-04-01
2011,May,91,5,2011-05-01
2011,June,98,6,2011-06-01
2011,July,104,7,2011-07-01
2011,August,108,8,2011-08-01
2011,September,96,9,2011-09-01
2011,October,88,10,2011-10-01
2011,November,100,11,2011-11-01
2011,December,97,12,2011-12-01
2012,January,109,1,2012-01-01
2012,February,101,2,2012-02-01
2012,March,96,3,2012-03-01
2012,April,88,4,2012-04-01
2012,May,99,5,2012-05-01
2012,June,100,6,2012-06-01
2012,July,86,7,2012-07-01
2012,August,105,8,2012-08-01
2012,September,107,9,2012-09-01
2012,October,110,10,2012-10-01
2012,November,97,11,2012-11-01
2012,December,107,12,2012-12-01
2013,January,95,1,2013-01-01
2013,February,86,2,2013-02-01
2013,March,81,3,2013-03-01
2013,April,95,4,2013-04-01
2013,May,106,5,2013-05-01
2013,June,105,6,2013-06-01
2013,July,97,7,2013-07-01
2013,August,106,8,2013-08-01
2013,September,100,9,2013-09-01
2013,October,105,10,2013-10-01
2013,November,98,11,2013-11-01
2013,December,89,12,2013-12-01
2014,January,92,1,2014-01-01
2014,February,105,2,2014-02-01
2014,March,94,3,2014-03-01
2014,April,96,4,2014-04-01
2014,May,91,5,2014-05-01
2014,June,103,6,2014-06-01
2014,July,102,7,2014-07-01
2014,August,102,8,2014-08-01
2014,September,102,9,2014-09-01
2014,October,96,10,2014-10-01
2014,November,103,11,2014-11-01
2014,December,101,12,2014-12-01
2015,January,105,1,2015-01-01
2015,February,98,2,2015-02-01
2015,March,93,3,2015-03-01
2015,April,98,4,2015-04-01
2015,May,94,5,2015-05-01
2015,June,104,6,2015-06-01
2015,July,99,7,2015-07-01
2015,August,93,8,2015-08-01
2015,September,107,9,2015-09-01
2015,October,99,10,2015-10-01
2015,November,99,11,2015-11-01
2015,December,101,12,2015-12-01
2016,January,97,1,2016-01-01
2016,February,96,2,2016-02-01
2016,March,88,3,2016-03-01
2016,April,96,4,2016-04-01
2016,May,101,5,2016-05-01
2016,June,93,6,2016-06-01
2016,July,102,7,2016-07-01
2016,August,107,8,2016-08-01
2016,September,99,9,2016-09-01
2016,October,100,10,2016-10-01
2016,November,92,11,2016-11-01
2016,December,114,12,2016-12-01
2017,January,97,1,2017-01-01
2017,February,98,2,2017-02-01
2017,March,104,3,2017-03-01
2017,April,102,4,2017-04-01
2017,May,114,5,2017-05-01
2017,June,99,6,2017-06-01
2017,July,109,7,2017-07-01
2017,August,89,8,2017-08-01
2017,September,97,9,2017-09-01
2017,October,92,10,2017-10-01
2017,November,94,11,2017-11-01
2017,December,93,12,2017-12-01
2018,January,104,1,2018-01-01
2018,February,107,2,2018-02-01
2018,March,107,3,2018-03-01
2018,April,139,4,2018-04-01
2018,May,150,5,2018-05-01
2018,June,165,6,2018-06-01
2018,July,180,7,2018-07-01
2018,August,195,8,2018-08-01
2018,September,198,9,2018-09-01
2018,October,197,10,2018-10-01
2018,November,199,11,2018-11-01
2018,December,102,12,2018-12-01
2019,January,101,1,2019-01-01
2019,February,105,2,2019-02-01
2019,March,95,3,2019-03-01
2019,April,145,4,2019-04-01
2019,May,165,5,2019-05-01
2019,June,179,6,2019-06-01
2019,July,180,7,2019-07-01
2019,August,121,8,2019-08-01
2019,September,116,9,2019-09-01
2019,October,129,10,2019-10-01
2019,November,109,11,2019-11-01
2019,December,108,12,2019-12-01
2020,January,125,1,2020-01-01
2020,February,101,2,2020-02-01
2020,March,198,3,2020-03-01
2020,April,102,4,2020-04-01
2020,May,118,5,2020-05-01
2020,June,126,6,2020-06-01
2020,July,165,7,2020-07-01
