year,month,frequency,months,timing,
2008,October,30,10,2008-10-01,98
2008,November,61,11,2008-11-01,12
2008,December,42,12,2008-12-01,84
2009,January,5,1,2009-01-01,7
2009,February,7,2,2009-02-01,122
2009,March,19,3,2009-03-01,93
2009,April,27,4,2009-04-01,62
2009,May,27,5,2009-05-01,16
2009,June,34,6,2009-06-01,34
2009,July,149,7,2009-07-01,121
2009,August,43,8,2009-08-01,14
2009,September,118,9,2009-09-01,102
2009,October,103,10,2009-10-01,78
2009,November,70,11,2009-11-01,33
2009,December,42,12,2009-12-01,97
2010,January,18,1,2010-01-01,59
2010,February,27,2,2010-02-01,136
2010,March,113,3,2010-03-01,15
2010,April,152,4,2010-04-01,43
2010,May,138,5,2010-05-01,126
2010,June,94,6,2010-06-01,2
2010,July,25,7,2010-07-01,62
2010,August,6,8,2010-08-01,58
2010,September,131,9,2010-09-01,54
2010,October,113,10,2010-10-01,139
2010,November,77,11,2010-11-01,144
2010,December,72,12,2010-12-01,14
2011,January,60,1,2011-01-01,64
2011,February,31,2,2011-02-01,139
2011,March,24,3,2011-03-01,86
2011,April,80,4,2011-04-01,2
2011,May,125,5,2011-05-01,80
2011,June,137,6,2011-06-01,61
2011,July,113,7,2011-07-01,39
2011,August,80,8,2011-08-01,3
2011,September,129,9,2011-09-01,68
2011,October,147,10,2011-10-01,105
2011,November,141,11,2011-11-01,74
2011,December,9,12,2011-12-01,60
2012,January,22,1,2012-01-01,62
2012,February,106,2,2012-02-01,75
2012,March,53,3,2012-03-01,93
2012,April,64,4,2012-04-01,60
2012,May,7,5,2012-05-01,2
2012,June,15,6,2012-06-01,145
2012,July,4,7,2012-07-01,120
2012,August,69,8,2012-08-01,94
2012,September,46,9,2012-09-01,71
2012,October,5,10,2012-10-01,92
2012,November,123,11,2012-11-01,150
2012,December,99,12,2012-12-01,141
2013,January,75,1,2013-01-01,118
2013,February,100,2,2013-02-01,8
2013,March,114,3,2013-03-01,153
2013,April,27,4,2013-04-01,19
2013,May,83,5,2013-05-01,124
2013,June,5,6,2013-06-01,5
2013,July,55,7,2013-07-01,104
2013,August,113,8,2013-08-01,101
2013,September,147,9,2013-09-01,136
2013,October,154,10,2013-10-01,129
2013,November,9,11,2013-11-01,125
2013,December,125,12,2013-12-01,13
2014,January,42,1,2014-01-01,35
2014,February,89,2,2014-02-01,134
2014,March,119,3,2014-03-01,129
2014,April,15,4,2014-04-01,127
2014,May,116,5,2014-05-01,14
2014,June,81,6,2014-06-01,85
2014,July,80,7,2014-07-01,125
2014,August,109,8,2014-08-01,145
2014,September,120,9,2014-09-01,142
2014,October,72,10,2014-10-01,132
2014,November,125,11,2014-11-01,94
2014,December,32,12,2014-12-01,76
2015,January,114,1,2015-01-01,117
2015,February,79,2,2015-02-01,15
2015,March,140,3,2015-03-01,92
2015,April,128,4,2015-04-01,9
2015,May,102,5,2015-05-01,100
2015,June,129,6,2015-06-01,136
2015,July,87,7,2015-07-01,155
2015,August,19,8,2015-08-01,53
2015,September,113,9,2015-09-01,83
2015,October,132,10,2015-10-01,59
2015,November,118,11,2015-11-01,75
2015,December,56,12,2015-12-01,14
2016,January,140,1,2016-01-01,106
2016,February,110,2,2016-02-01,92
2016,March,92,3,2016-03-01,40
2016,April,99,4,2016-04-01,22
2016,May,3,5,2016-05-01,80
2016,June,112,6,2016-06-01,12
2016,July,140,7,2016-07-01,41
2016,August,45,8,2016-08-01,55
2016,September,127,9,2016-09-01,83
2016,October,7,10,2016-10-01,137
2016,November,82,11,2016-11-01,73
2016,December,48,12,2016-12-01,145
2017,January,75,1,2017-01-01,145
2017,February,116,2,2017-02-01,77
2017,March,20,3,2017-03-01,72
2017,April,1,4,2017-04-01,5
2017,May,120,5,2017-05-01,120
2017,June,35,6,2017-06-01,50
2017,July,151,7,2017-07-01,12
2017,August,81,8,2017-08-01,135
2017,September,89,9,2017-09-01,41
2017,October,93,10,2017-10-01,21
2017,November,33,11,2017-11-01,107
2017,December,104,12,2017-12-01,80
2018,January,116,1,2018-01-01,11
2018,February,42,2,2018-02-01,120
2018,March,6,3,2018-03-01,135
2018,April,30,4,2018-04-01,94
2018,May,126,5,2018-05-01,86
2018,June,134,6,2018-06-01,112
2018,July,41,7,2018-07-01,130
2018,August,121,8,2018-08-01,95
2018,September,116,9,2018-09-01,27
2018,October,150,10,2018-10-01,144
2018,November,96,11,2018-11-01,124
2018,December,103,12,2018-12-01,133
2019,January,96,1,2019-01-01,3
2019,February,114,2,2019-02-01,35
2019,March,99,3,2019-03-01,5
2019,April,67,4,2019-04-01,9
2019,May,96,5,2019-05-01,59
2019,June,112,6,2019-06-01,41
2019,July,89,7,2019-07-01,82
2019,August,20,8,2019-08-01,113
2019,September,139,9,2019-09-01,73
2019,October,132,10,2019-10-01,14
2019,November,146,11,2019-11-01,87
2019,December,104,12,2019-12-01,112
2020,January,93,1,2020-01-01,80
2020,February,95,2,2020-02-01,31
2020,March,139,3,2020-03-01,28
2020,April,80,4,2020-04-01,34
2020,May,10,5,2020-05-01,136
2020,June,132,6,2020-06-01,58
2020,July,153,7,2020-07-01,128
