year,month,frequency,months,timing
2013,June,29,6,2013-06-01
2013,July,5,7,2013-07-01
2013,August,5,8,2013-08-01
2013,September,13,9,2013-09-01
2013,October,36,10,2013-10-01
2013,November,3,11,2013-11-01
2013,December,12,12,2013-12-01
2014,January,7,1,2014-01-01
2014,February,12,2,2014-02-01
2014,March,7,3,2014-03-01
2014,April,8,4,2014-04-01
2014,May,5,5,2014-05-01
2014,June,18,6,2014-06-01
2014,July,38,7,2014-07-01
2014,August,44,8,2014-08-01
2014,September,30,9,2014-09-01
2014,October,1,10,2014-10-01
2014,November,32,11,2014-11-01
2014,December,28,12,2014-12-01
2015,January,23,1,2015-01-01
2015,February,6,2,2015-02-01
2015,March,97,3,2015-03-01
2015,April,63,4,2015-04-01
2015,May,35,5,2015-05-01
2015,June,120,6,2015-06-01
2015,July,65,7,2015-07-01
2015,August,69,8,2015-08-01
2015,September,102,9,2015-09-01
2015,October,66,10,2015-10-01
2015,November,95,11,2015-11-01
2015,December,115,12,2015-12-01
2016,January,7,1,2016-01-01
2016,February,43,2,2016-02-01
2016,March,3,3,2016-03-01
2016,April,7,4,2016-04-01
2016,May,3,5,2016-05-01
2016,June,13,6,2016-06-01
2016,July,7,7,2016-07-01
2016,August,5,8,2016-08-01
2016,September,80,9,2016-09-01
2016,October,32,10,2016-10-01
2016,November,10,11,2016-11-01
2016,December,5,12,2016-12-01
2017,January,0,1,2017-01-01
2017,February,21,2,2017-02-01
2017,March,12,3,2017-03-01
2017,April,5,4,2017-04-01
2017,May,3,5,2017-05-01
2017,June,12,6,2017-06-01
2017,July,95,7,2017-07-01
2017,August,74,8,2017-08-01
2017,September,2,9,2017-09-01
2017,October,15,10,2017-10-01
2017,November,8,11,2017-11-01
2017,December,8,12,2017-12-01
2018,January,100,1,2018-01-01
2018,February,113,2,2018-02-01
2018,March,48,3,2018-03-01
2018,April,58,4,2018-04-01
2018,May,115,5,2018-05-01
2018,June,62,6,2018-06-01
2018,July,31,7,2018-07-01
2018,August,45,8,2018-08-01
2018,September,28,9,2018-09-01
2018,October,107,10,2018-10-01
2018,November,56,11,2018-11-01
2018,December,56,12,2018-12-01
2019,January,112,1,2019-01-01
2019,February,57,2,2019-02-01
2019,March,106,3,2019-03-01
2019,April,37,4,2019-04-01
2019,May,107,5,2019-05-01
2019,June,121,6,2019-06-01
2019,July,74,7,2019-07-01
2019,August,86,8,2019-08-01
2019,September,37,9,2019-09-01
2019,October,85,10,2019-10-01
2019,November,105,11,2019-11-01
2019,December,85,12,2019-12-01
2020,January,125,1,2020-01-01
2020,February,107,2,2020-02-01
2020,March,107,3,2020-03-01
2020,April,94,4,2020-04-01
2020,May,89,5,2020-05-01
2020,June,25,6,2020-06-01
2020,July,63,7,2020-07-01
